Property Type,Location,Bedrooms,Bathrooms,Size (sqft),Floor Number,Floor Level,Selling price (BDT),Balcony,Parking,Lift,CCTV,Generator,Source
Apartment,"Kumarpara, Sylhet",3,2,1848,8,8th Floor,"10,298,616",2,1,0,0,1,self
Apartment,"Bagbari, Sylhet",5,4,2074,6,6th Floor,"14,686,322",1,1,1,1,0,self
House,"Kumarpara, Sylhet",5,7,4569,0,Whole house,"29,918,212",3,0,0,0,0,self
House,"Mira Housing Estate, Sylhet",5,5,2867,0,Whole house,"14,604,478",3,0,0,1,0,self
House,"Mira Housing Estate, Sylhet",6,6,3315,0,Whole house,"14,413,137",3,0,0,0,1,self
Duplex,"Shibgonj, Sylhet",3,2,2752,1,Ground + 1st Floor,"25,401,593",2,0,1,1,0,self
House,"Zindabazar, Sylhet",2,2,2255,0,Whole house,"17,393,938",2,0,0,1,1,self
Apartment,"Ambarkhana, Sylhet",3,3,1634,4,4th Floor,"7,246,535",2,0,0,0,0,self
House,"Pathantula, Sylhet",6,6,4958,0,Whole house,"24,807,965",1,1,0,1,0,self
House,"Chowhatta, Sylhet",2,2,4449,0,Whole house,"26,237,991",1,0,1,1,1,self
Duplex,"Moulikergaon, Sylhet",2,2,2887,2,Ground + 2nd Floor,"20,887,475",3,1,1,1,0,self
House,"Nayasarak, Sylhet",4,3,2195,0,Whole house,"13,688,186",3,0,0,0,1,self
Apartment,"Mira Housing Estate, Sylhet",5,5,1087,3,3rd Floor,"5,658,517",4,1,0,0,0,self
Duplex,"Mendibagh, Sylhet",6,6,3458,2,Ground + 2nd Floor,"21,090,710",4,0,0,0,1,self
Duplex,"Nayasarak, Sylhet",5,3,3680,2,Ground + 2nd Floor,"22,631,136",4,1,0,0,0,self
House,"Bagbari, Sylhet",4,3,2166,0,Whole house,"15,138,115",1,0,1,1,0,self
Duplex,"Bagbari, Sylhet",4,4,3836,2,Ground + 2nd Floor,"25,050,598",4,1,1,0,0,self
Duplex,"Tilagor, Sylhet",6,4,4343,2,Ground + 2nd Floor,"31,001,857",4,0,0,1,0,self
Duplex,"Shahporan, Sylhet",4,3,2125,2,Ground + 2nd Floor,"14,954,416",1,1,0,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,2233,1,Ground + 1st Floor,"13,815,877",2,1,1,1,1,self
Duplex,"Shahporan, Sylhet",4,4,2607,1,Ground + 1st Floor,"12,874,387",3,1,0,1,0,self
Apartment,"Bagbari, Sylhet",2,2,1257,6,6th Floor,"4,517,940",1,1,1,0,1,self
House,"Mira Housing Estate, Sylhet",5,5,2844,0,Whole house,"14,435,832",3,0,0,1,0,self
Apartment,"Taltola, Sylhet",2,2,2149,2,2nd Floor,"14,354,110",1,1,0,0,0,self
Apartment,"Bagbari, Sylhet",4,4,1658,8,8th Floor,"8,258,691",3,0,0,0,0,self
Apartment,"Shahjalal Uposhahar, Sylhet",3,4,1692,9,9th Floor,"13,105,380",1,0,1,0,1,self
Duplex,"Tilagor, Sylhet",7,5,4139,2,Ground + 2nd Floor,"31,913,659",4,0,0,1,0,self
Apartment,"Moulikergaon, Sylhet",6,5,1114,6,6th Floor,"7,860,276",2,0,0,0,0,self
Apartment,"Nayasarak, Sylhet",4,2,1818,5,5th Floor,"8,825,679",1,1,1,1,1,self
House,"Subidbazar, Sylhet",5,3,4933,0,Whole house,"31,102,883",5,1,1,1,0,self
House,"Akhalia, Sylhet",4,4,4870,0,Whole house,"24,830,855",1,1,0,1,1,self
House,"Subidbazar, Sylhet",5,3,5102,0,Whole house,"33,965,428",5,1,1,1,0,self
Duplex,"Shibgonj, Sylhet",3,2,3312,1,Ground + 1st Floor,"22,627,326",2,0,1,1,0,self
Duplex,"Ambarkhana, Sylhet",5,5,2944,2,Ground + 2nd Floor,"18,638,673",2,1,1,0,1,self
House,"Shahjalal Uposhahar, Sylhet",1,2,3525,0,Whole house,"25,037,677",3,0,1,1,0,self
Apartment,"Mendibagh, Sylhet",4,3,1858,8,8th Floor,"12,584,571",4,0,0,0,0,self
House,"Nayasarak, Sylhet",5,2,3477,0,Whole house,"15,697,426",1,0,1,1,0,self
Duplex,"Tilagor, Sylhet",3,3,2723,1,Ground + 1st Floor,"19,123,072",1,0,0,0,0,self
Apartment,"Ambarkhana, Sylhet",3,3,1653,4,4th Floor,"8,176,433",2,0,0,0,0,self
Apartment,"Tilagor, Sylhet",3,3,1849,5,5th Floor,"10,002,657",2,0,1,1,0,self
Duplex,"Kazirbazar, Sylhet",1,1,2885,1,Ground + 1st Floor,"25,025,424",3,0,0,0,0,self
Duplex,"Ambarkhana, Sylhet",6,4,3397,1,Ground + 1st Floor,"24,658,615",1,0,0,1,1,self
Duplex,"Nayasarak, Sylhet",3,2,2271,1,Ground + 1st Floor,"15,418,054",2,1,1,1,1,self
Duplex,"Zindabazar, Sylhet",4,4,2722,1,Ground + 1st Floor,"16,568,779",3,1,0,1,0,self
Duplex,"Moulikergaon, Sylhet",5,5,3729,1,Ground + 1st Floor,"28,623,591",2,0,1,1,1,self
House,"Nayasarak, Sylhet",7,6,4689,0,Whole house,"21,396,317",3,1,0,1,0,self
Duplex,"Mirabazar, Sylhet",5,4,2726,0,Whole house,"26,779,096",3,1,0,1,0,self
Apartment,"Kumarpara, Sylhet",4,2,2314,11,11th Floor,"13,135,251",2,0,0,0,1,self
Duplex,"Kazirbazar, Sylhet",6,3,3855,1,Ground + 1st Floor,"32,854,668",1,0,0,1,0,self
House,"Shahjalal Uposhahar, Sylhet",8,8,1869,0,Whole house,"24,446,654",0,1,0,0,0,self
House,"Kazirbazar, Sylhet",4,1,5004,0,Whole house,"30,938,194",1,1,0,0,1,self
Duplex,"Bagbari, Sylhet",3,2,4845,1,Ground + 1st Floor,"29,614,896",3,1,1,1,0,self
House,"Kazirbazar, Sylhet",3,3,3986,0,Whole house,"27,916,429",1,1,0,0,1,self
Duplex,"Zindabazar, Sylhet",4,2,3137,2,Ground + 2nd Floor,"23,943,437",2,1,1,0,0,self
Duplex,"Shahporan, Sylhet",3,3,2836,1,Ground + 1st Floor,"14,486,469",1,0,0,0,1,self
House,"Shahjalal Uposhahar, Sylhet",6,5,2345,0,Whole house,"15,718,620",3,0,1,1,1,self
Apartment,"Shibgonj, Sylhet",4,4,1888,8,8th Floor,"8,395,614",4,1,1,1,1,self
Apartment,"Chowhatta, Sylhet",6,4,1739,4,4th Floor,"12,440,119",4,0,0,1,1,self
House,"Bagbari, Sylhet",5,4,3216,0,Whole house,"14,422,970",4,1,1,1,0,self
House,"Pathantula, Sylhet",2,3,2149,0,Whole house,"10,228,907",4,0,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",2,2,3669,0,Whole house,"27,604,927",3,0,1,1,0,self
House,"Pathantula, Sylhet",2,2,2043,0,Whole house,"10,731,411",4,0,1,1,0,self
Duplex,"Kumarpara, Sylhet",4,4,2845,2,Ground + 2nd Floor,"19,759,810",3,1,1,1,0,self
Duplex,"Shibgonj, Sylhet",3,2,3462,1,Ground + 1st Floor,"31,144,708",2,1,0,0,1,self
Duplex,"Tilagor, Sylhet",2,2,4056,2,Ground + 2nd Floor,"31,913,674",1,0,1,1,0,self
Apartment,"Akhalia, Sylhet",2,2,1079,9,9th Floor,"5,806,375",4,0,0,0,0,self
Apartment,"Ambarkhana, Sylhet",4,4,1921,12,12th Floor,"15,695,186",4,0,0,1,1,self
Apartment,"Moulikergaon, Sylhet",5,5,2759,6,6th Floor,"20,927,629",3,0,0,1,1,self
Apartment,"Kumarpara, Sylhet",3,2,1570,8,8th Floor,"9,867,581",2,1,0,0,1,self
Apartment,"Kumarpara, Sylhet",2,2,2064,11,11th Floor,"10,835,533",4,1,0,1,0,self
Duplex,"Pathantula, Sylhet",3,2,3758,2,Ground + 2nd Floor,"22,792,700",3,1,1,1,0,self
Duplex,"Subidbazar, Sylhet",3,1,2603,2,Ground + 2nd Floor,"16,923,104",2,1,1,0,1,self
Duplex,"Subidbazar, Sylhet",5,5,3392,2,Ground + 2nd Floor,"25,450,871",2,0,0,1,1,self
Apartment,"Moulikergaon, Sylhet",6,4,1006,6,6th Floor,"7,272,918",2,0,0,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,1894,1,Ground + 1st Floor,"15,332,084",2,1,1,1,1,self
House,"Mirabazar, Sylhet",6,5,2111,0,Whole house,"14,121,941",1,0,0,1,0,self
Duplex,"Taltola, Sylhet",3,3,2206,1,Ground + 1st Floor,"17,323,647",3,1,1,0,1,self
Duplex,"Akhalia, Sylhet",2,2,2988,2,Ground + 2nd Floor,"17,744,293",2,0,0,1,1,self
Apartment,"Subidbazar, Sylhet",5,4,2124,10,10th Floor,"8,994,262",2,0,0,0,0,self
Apartment,"Moulikergaon, Sylhet",6,4,1129,6,6th Floor,"8,328,237",2,0,0,0,0,self
House,"Mirabazar, Sylhet",3,3,2843,0,Whole house,"15,779,130",4,1,1,1,0,self
Duplex,"Ambarkhana, Sylhet",2,3,3365,1,Ground + 1st Floor,"26,544,021",3,1,1,1,1,self
House,"Mira Housing Estate, Sylhet",3,2,3321,0,Whole house,"12,805,438",2,1,0,0,1,self
House,"Shibgonj, Sylhet",4,3,2438,0,Whole house,"13,915,983",2,1,1,1,0,self
Duplex,"Pathantula, Sylhet",4,2,4014,2,Ground + 2nd Floor,"22,228,860",3,1,1,1,0,self
House,"Akhalia, Sylhet",7,4,2379,0,Whole house,"12,472,975",4,0,0,1,0,self
House,"Tilagor, Sylhet",3,3,3697,0,Whole house,"14,733,339",1,1,0,0,0,self
Duplex,"Mendibagh, Sylhet",6,6,3779,2,Ground + 2nd Floor,"21,025,914",4,0,0,0,1,self
Duplex,"Shibgonj, Sylhet",3,2,4091,1,Ground + 1st Floor,"33,159,431",2,1,0,0,1,self
Duplex,"Subidbazar, Sylhet",5,4,2851,2,Ground + 2nd Floor,"15,089,727",3,0,1,0,0,self
House,"Mirabazar, Sylhet",4,4,2853,0,Whole house,"14,999,677",4,1,1,0,1,self
House,"Shahjalal Uposhahar, Sylhet",4,4,1423,0,Whole house,"9,777,793",1,0,1,1,1,self
House,"Zindabazar, Sylhet",5,5,2315,0,Whole house,"15,337,408",2,1,1,0,1,self
Duplex,"Taltola, Sylhet",3,4,2269,2,Ground + 2nd Floor,"22,068,351",3,1,1,1,0,self
Apartment,"Mendibagh, Sylhet",5,3,2443,5,5th Floor,"15,111,692",3,1,0,0,0,self
Apartment,"Chowhatta, Sylhet",5,3,1445,2,2nd Floor,"8,698,157",2,1,1,1,0,self
House,"Zindabazar, Sylhet",5,5,2222,0,Whole house,"16,897,364",2,1,1,0,1,self
House,"Mira Housing Estate, Sylhet",5,3,2926,0,Whole house,"24,277,706",2,1,1,0,1,self
Duplex,"Pathantula, Sylhet",3,2,4149,2,Ground + 2nd Floor,"21,063,815",3,1,1,1,0,self
Apartment,"Akhalia, Sylhet",4,4,1809,10,10th Floor,"9,552,503",1,1,0,1,0,self
House,"Shahjalal Uposhahar, Sylhet",3,3,3245,0,Whole house,"17,722,110",1,1,0,0,0,self
Apartment,"Chowhatta, Sylhet",3,2,1763,6,6th Floor,"7,049,639",2,0,0,0,1,self
House,"Ambarkhana, Sylhet",6,6,2704,0,Whole house,"17,356,144",4,1,1,0,0,self
Duplex,"Pathantula, Sylhet",6,6,2007,1,Ground + 1st Floor,"13,599,048",4,0,0,1,0,self
House,"Nayasarak, Sylhet",5,3,3631,0,Whole house,"14,442,432",1,0,1,1,0,self
House,"Mendibagh, Sylhet",3,3,3451,0,Whole house,"21,016,865",1,0,1,1,0,self
House,"Nayasarak, Sylhet",4,4,3427,0,Whole house,"23,820,936",2,1,0,1,0,self
Duplex,"Akhalia, Sylhet",4,2,4449,2,Ground + 2nd Floor,"36,338,400",4,1,0,1,0,self
House,"Shahporan, Sylhet",5,5,4780,0,Whole house,"25,617,774",4,0,0,0,0,self
Apartment,"Mirabazar, Sylhet",2,2,1050,4,4th Floor,"7,220,289",2,1,0,1,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",5,6,2991,1,Ground + 1st Floor,"24,535,461",1,0,1,0,0,self
Apartment,"Shibgonj, Sylhet",4,3,1552,8,8th Floor,"7,597,180",4,1,1,1,1,self
Apartment,"Kazirbazar, Sylhet",6,4,2247,11,11th Floor,"18,134,437",3,0,0,0,0,self
House,"Tilagor, Sylhet",3,2,4672,0,Whole house,"23,513,848",1,1,1,0,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,1,3291,1,Ground + 1st Floor,"22,275,261",3,1,0,0,1,self
Duplex,"Akhalia, Sylhet",2,2,2382,2,Ground + 2nd Floor,"17,554,445",2,0,0,1,1,self
Duplex,"Mira Housing Estate, Sylhet",6,6,2219,2,Ground + 2nd Floor,"17,847,253",4,1,1,0,0,self
House,"Tilagor, Sylhet",2,2,2271,0,Whole house,"11,561,259",1,0,1,1,1,self
Apartment,"Chowhatta, Sylhet",3,2,1977,12,12th Floor,"17,646,557",1,0,0,0,0,self
House,"Chowhatta, Sylhet",2,2,4599,0,Whole house,"27,630,002",1,0,1,1,1,self
Duplex,"Moulikergaon, Sylhet",5,4,3837,2,Ground + 2nd Floor,"26,598,842",1,1,1,0,1,self
Apartment,"Shahporan, Sylhet",3,3,1298,9,9th Floor,"5,248,897",2,1,0,1,1,self
Duplex,"Pathantula, Sylhet",4,2,3448,1,Ground + 1st Floor,"32,158,094",4,1,1,1,0,self
Apartment,"Subidbazar, Sylhet",3,3,1653,2,2nd Floor,"8,674,608",2,1,1,1,0,self
House,"Tilagor, Sylhet",4,2,2181,0,Whole house,"8,488,845",1,0,1,0,1,self
Duplex,"Akhalia, Sylhet",2,2,2943,2,Ground + 2nd Floor,"26,547,499",1,1,0,1,0,self
Duplex,"Nayasarak, Sylhet",5,3,3559,2,Ground + 2nd Floor,"24,100,330",4,1,0,0,0,self
Duplex,"Moulikergaon, Sylhet",2,2,2794,2,Ground + 2nd Floor,"20,771,668",3,1,1,1,0,self
Apartment,"Nayasarak, Sylhet",2,2,2308,2,2nd Floor,"12,651,605",4,1,1,0,0,self
Duplex,"Ambarkhana, Sylhet",2,2,3497,1,Ground + 1st Floor,"27,261,273",3,1,1,1,1,self
Apartment,"Mendibagh, Sylhet",5,3,1095,12,12th Floor,"5,794,247",4,0,0,1,0,self
Duplex,"Zindabazar, Sylhet",4,4,2208,1,Ground + 1st Floor,"20,226,883",3,1,0,1,0,self
House,"Shahjalal Uposhahar, Sylhet",6,6,2590,0,Whole house,"18,430,301",3,0,1,1,1,self
House,"Nayasarak, Sylhet",5,5,2457,0,Whole house,"17,035,014",3,0,1,0,1,self
House,"Tilagor, Sylhet",3,1,4222,0,Whole house,"18,697,547",3,0,0,0,0,self
Duplex,"Zindabazar, Sylhet",4,4,2119,1,Ground + 1st Floor,"16,717,919",3,1,0,1,0,self
Duplex,"Ambarkhana, Sylhet",5,5,2535,2,Ground + 2nd Floor,"17,156,032",2,1,1,0,1,self
Apartment,"Dargah Gate, Sylhet",6,6,940,9,9th Floor,"4,848,885",3,1,1,0,0,self
Apartment,"Bagbari, Sylhet",2,1,2161,8,8th Floor,"11,103,221",1,1,0,1,1,self
Duplex,"Shahporan, Sylhet",4,4,3914,1,Ground + 1st Floor,"36,190,999",2,0,1,1,1,self
House,"Shahporan, Sylhet",5,5,3022,0,Whole house,"14,499,696",2,1,1,0,1,self
House,"Mira Housing Estate, Sylhet",5,3,3017,0,Whole house,"21,115,540",2,1,1,0,1,self
Apartment,"Nayasarak, Sylhet",2,4,1303,4,4th Floor,"9,408,664",2,0,1,1,0,self
Duplex,"Mirabazar, Sylhet",5,4,4638,1,Ground + 1st Floor,"25,974,851",1,1,0,1,0,self
Duplex,"Dargah Gate, Sylhet",3,2,5005,1,Ground + 1st Floor,"25,553,733",2,0,0,0,0,self
Duplex,"Shahporan, Sylhet",3,3,2148,2,Ground + 2nd Floor,"14,143,020",1,1,0,0,0,self
House,"Zindabazar, Sylhet",6,5,2137,0,Whole house,"20,295,179",3,1,0,1,0,self
House,"Bagbari, Sylhet",3,2,2250,0,Whole house,"9,556,643",4,1,1,0,1,self
House,"Shahjalal Uposhahar, Sylhet",6,6,4229,0,Whole house,"29,534,987",4,0,0,0,1,self
House,"Shahporan, Sylhet",6,6,3563,0,Whole house,"19,603,832",4,1,0,0,0,self
House,"Nayasarak, Sylhet",5,5,2390,0,Whole house,"17,462,284",3,0,1,0,1,self
Duplex,"Ambarkhana, Sylhet",6,6,3465,1,Ground + 1st Floor,"24,508,819",4,1,0,1,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",3,3,4352,1,Ground + 1st Floor,"32,343,015",3,0,1,1,1,self
Duplex,"Moulikergaon, Sylhet",5,5,3893,1,Ground + 1st Floor,"30,434,956",2,0,1,1,1,self
Duplex,"Shibgonj, Sylhet",5,3,3942,2,Ground + 2nd Floor,"23,617,935",2,0,1,1,0,self
House,"Tilagor, Sylhet",2,2,3967,0,Whole house,"17,939,482",3,0,0,0,0,self
House,"Mendibagh, Sylhet",3,2,3314,0,Whole house,"20,525,201",3,1,0,0,0,self
Apartment,"Subidbazar, Sylhet",5,2,1292,9,9th Floor,"7,029,726",1,0,0,0,1,self
Apartment,"Bagbari, Sylhet",5,5,2232,2,2nd Floor,"10,839,163",4,0,1,0,0,self
House,"Mirabazar, Sylhet",4,4,2905,0,Whole house,"14,220,725",4,1,1,0,1,self
Duplex,"Bagbari, Sylhet",3,2,4256,1,Ground + 1st Floor,"29,841,803",3,1,1,1,0,self
Duplex,"Bagbari, Sylhet",4,3,2249,1,Ground + 1st Floor,"15,864,849",3,1,1,1,0,self
House,"Taltola, Sylhet",5,5,3235,0,Whole house,"18,089,976",1,0,1,1,1,self
House,"Kumarpara, Sylhet",4,3,3448,0,Whole house,"16,538,196",1,0,1,1,1,self
Apartment,"Kumarpara, Sylhet",2,1,2012,11,11th Floor,"10,424,404",4,1,0,1,0,self
House,"Akhalia, Sylhet",5,4,3673,0,Whole house,"22,692,125",4,0,1,0,1,self
Duplex,"Moulikergaon, Sylhet",5,4,3614,2,Ground + 2nd Floor,"28,143,620",1,1,1,0,1,self
House,"Mirabazar, Sylhet",3,2,1931,0,Whole house,"10,069,489",3,0,0,0,0,self
House,"Mirabazar, Sylhet",6,5,2043,0,Whole house,"12,827,504",1,0,0,1,0,self
Duplex,"Dargah Gate, Sylhet",6,5,2601,2,Ground + 2nd Floor,"13,460,991",3,0,1,1,0,self
Apartment,"Mendibagh, Sylhet",5,3,1893,8,8th Floor,"11,707,245",4,0,0,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,3858,1,Ground + 1st Floor,"23,916,844",2,1,0,0,0,self
Duplex,"Bagbari, Sylhet",3,2,4556,1,Ground + 1st Floor,"33,826,110",3,1,1,1,0,self
Duplex,"Zindabazar, Sylhet",3,2,2436,1,Ground + 1st Floor,"14,132,056",3,1,1,0,0,self
House,"Mira Housing Estate, Sylhet",5,6,2466,0,Whole house,"13,895,518",4,0,0,0,0,self
Apartment,"Pathantula, Sylhet",3,2,1878,5,5th Floor,"14,120,704",4,1,0,0,0,self
House,"Kumarpara, Sylhet",2,2,3458,0,Whole house,"15,458,544",2,0,1,0,1,self
House,"Shahjalal Uposhahar, Sylhet",4,4,1890,0,Whole house,"9,057,238",1,0,1,1,1,self
House,"Tilagor, Sylhet",3,2,4839,0,Whole house,"24,865,014",1,0,1,1,1,self
Apartment,"Dargah Gate, Sylhet",6,6,962,9,9th Floor,"5,099,039",3,1,1,0,0,self
House,"Shibgonj, Sylhet",2,2,5138,0,Whole house,"22,097,913",2,1,1,0,0,self
House,"Chowhatta, Sylhet",2,3,3753,0,Whole house,"25,407,229",1,0,1,1,1,self
Apartment,"Kumarpara, Sylhet",4,2,2377,11,11th Floor,"12,963,867",2,0,0,0,1,self
Duplex,"Taltola, Sylhet",5,5,3015,1,Ground + 1st Floor,"25,362,913",2,0,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",3,3,2927,0,Whole house,"18,676,900",1,1,0,0,0,self
Duplex,"Subidbazar, Sylhet",3,2,4084,1,Ground + 1st Floor,"30,984,556",1,1,0,0,1,self
Apartment,"Bagbari, Sylhet",5,5,2429,2,2nd Floor,"12,406,545",4,0,1,0,0,self
House,"Dargah Gate, Sylhet",2,2,3920,0,Whole house,"25,184,087",4,0,0,1,1,self
Apartment,"Kumarpara, Sylhet",3,2,1660,5,5th Floor,"9,427,496",1,0,0,1,1,self
Apartment,"Subidbazar, Sylhet",5,4,2055,10,10th Floor,"9,538,178",2,0,0,0,0,self
Apartment,"Nayasarak, Sylhet",3,2,1212,12,12th Floor,"6,092,226",4,1,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",4,3,3385,0,Whole house,"22,054,414",2,1,1,1,0,self
House,"Tilagor, Sylhet",2,2,4075,0,Whole house,"19,119,106",1,1,1,0,0,self
Duplex,"Ambarkhana, Sylhet",6,4,3307,1,Ground + 1st Floor,"21,967,116",1,0,0,1,1,self
